
Clock Time (s)
Problem,Go 1.12.3 (Compiled),Groovy 2.5.6/JDK8 (NailGun),Groovy 2.5.6/JDK8 (Standard),Node.js 10.15.3,Node.js 11.15.0,Node.js 12.3.0,PyPy 3.6-7.1.0,Python 3.7.3,Ruby 2.6.0
Baseline,0.0009888402999999998,0.015294001899999998,0.8670795233999999,0.060823493299999996,0.057155944599999994,0.0307336302,0.041431924200000005,0.039217480900000004,0.0723493298
Euler001,0.0010391186999999997,0.0201188282,1.0074506848,0.06523246379999999,0.0662007961,0.0354627821,0.0428138275,0.0422083794,0.07232700890000002
Euler002,0.0010673255999999998,0.013899113099999999,0.9540670747,0.064098988,0.06570447799999998,0.036134107799999995,0.043293007599999996,0.0421847017,0.0717011927
Euler003,0.0010658536,0.019428558,1.0182362287,0.0649173814,0.06747132610000002,0.0357276245,0.043367294300000005,0.041938123199999996,0.07359068469999999
Euler004,0.0255382648,0.05926458799999999,1.0601472707000001,0.10425468749999997,0.10558605640000003,0.06370855510000001,0.12450788430000001,0.2333747017,0.2815079824000001
Euler005,0.0012603899,0.020488708700000004,1.0492571522,0.0654600885,0.06613974809999999,0.036345979900000006,0.054329055599999995,0.0648914969,0.07373585
Euler006,0.0010117772,0.016324537,0.9996534116000001,0.063750822,0.06613519459999999,0.036231407800000004,0.042007147300000006,0.0393692347,0.0699929805
Euler007,0.0027265904,0.23749347580000002,1.4051750193,0.0865312713,0.08118978839999999,0.053932047000000004,0.1461695478,0.15549566999999997,0.23828011999999998
Euler008,0.0013681033,0.0317346695,1.0963495298000001,0.06827935520000002,0.0659734384,0.0372897155,0.0582809252,0.0625876132,0.0734519213
Euler009,0.0010330362,0.0158555315,0.9897835638000002,0.0631059929,0.06553367189999999,0.0357758287,0.04394858459999999,0.03950821840000001,0.0748335299
Euler010,0.018518443899999994,0.7119569670000001,1.9770461199,0.2205419795,0.16773254070000002,0.149815422,0.3615768993,1.2190604467,1.6144329106999997
Euler011,0.0025235025,0.0463137282,1.1564114936,0.0649121127,0.0696471579,0.037236982999999994,0.068589639,0.0632979688,0.07252290850000001
Euler012,0.5718132176999999,0.4393696727,1.8791153644999998,0.3469773431000001,0.39649105549999997,0.3855983821,0.8186641861999998,4.8478508732000005,4.6106617401
Euler013,0.0011419766999999996,0.0158607226,1.0732179972,0.064836584,0.0655939522,0.0398286378,0.0432163883,0.0397113617,0.0757734219
Euler014,1.3825144658,33.964760099799996,27.7697790564,2.8792876043,2.8011191082000004,2.8772587518,1.0174414405,29.777546403899997,12.4756668585
Euler015,0.0011675844,0.010767165199999998,1.0036385107000003,0.06255704329999999,0.06639627159999999,0.0369282228,0.043718682,0.04007116349999999,0.0715067721
Euler016,0.00120368,0.014663038800000004,1.0207256605000001,0.06452523169999999,0.0645651924,0.0362146235,0.0425785887,0.0415682595,0.07662944390000001
Euler017,0.0014115777000000003,0.028442045,1.1775774249000002,0.064978048,0.0668995844,0.0384504083,0.050018097900000016,0.0435286024,0.0802971499
Euler018,0.001107805,0.0144232215,1.0732898472999997,0.0655512155,0.0667148482,0.036385645099999996,0.0550684042,0.062038876500000006,0.0723435768
Euler019,0.0011451004,0.0160432639,1.0799138552999998,0.0657130381,0.0663118649,0.0372556118,0.0771173255,0.0575524268,0.07541672079999999
Euler020,0.0011430723,0.0109607132,1.0219517511,0.06304421340000001,0.06904544849999998,0.035839423,0.0421464944,0.0408243266,0.0715890243
Euler067,0.0014140469999999999,0.022517113000000002,1.1464128436999999,0.06665145749999998,0.0691703431,0.0408841611,0.06313847950000001,0.0687428319,0.0766737333

Memory (B)
Problem,Go 1.12.3 (Compiled),Groovy 2.5.6/JDK8 (NailGun),Groovy 2.5.6/JDK8 (Standard),Node.js 10.15.3,Node.js 11.15.0,Node.js 12.3.0,PyPy 3.6-7.1.0,Python 3.7.3,Ruby 2.6.0
Baseline,5096,1240,109389,21459,16595,15550,43976,6036,11499
Euler001,1244,1236,138310,21514,16993,16024,44513,6052,11555
Euler002,1240,1228,129165,21514,16996,16018,44567,6195,11526
Euler003,1236,1236,136464,21545,17078,16110,45376,6052,11695
Euler004,4736,1240,137407,27479,23383,22334,46296,6215,15072
Euler005,1240,1236,140078,21580,17053,16101,46391,7031,11561
Euler006,1240,1236,137091,21517,16993,16022,44486,6053,11529
Euler007,2066,1236,158850,25077,20809,20499,50779,8016,33726
Euler008,1258,1236,142428,21542,17156,16182,47025,7211,11679
Euler009,1240,1240,131791,21537,17005,16045,44585,6164,11559
Euler010,8431,1236,241255,43634,38893,37597,84250,27117,246559
Euler011,1388,1228,143003,21542,17059,16102,47395,7032,11806
Euler012,5808,1240,232425,25892,21585,21461,52293,9411,12103
Euler013,1283,1240,143246,21567,17052,16098,44669,6083,11571
Euler014,10239,1240,1401056,25548,21409,21081,52456,6051,44626
Euler015,1244,1240,133804,21535,17009,16042,44539,6166,11533
Euler016,1292,1240,136778,21569,17091,16070,44480,6050,11626
Euler017,1252,1228,147616,21553,17206,16220,45680,6052,11748
Euler018,1279,1240,139827,21553,17055,16086,46618,7217,11580
Euler019,1240,1240,145536,21665,17280,16300,47746,9143,11807
Euler020,1288,1232,136314,21545,17045,16054,44524,6164,11596
Euler067,1573,1236,143794,21920,17802,16854,47459,7231,11792

User Time (s)
Problem,Go 1.12.3 (Compiled),Groovy 2.5.6/JDK8 (NailGun),Groovy 2.5.6/JDK8 (Standard),Node.js 10.15.3,Node.js 11.15.0,Node.js 12.3.0,PyPy 3.6-7.1.0,Python 3.7.3,Ruby 2.6.0
Baseline,0.0005206000000000001,0.0003681,1.6977977000000002,0.05049229999999999,0.0498376,0.0248334,0.024584299999999996,0.034658800000000003,0.062412999999999996
Euler001,0.0004115,0.0005888,2.1188354000000005,0.053105400000000004,0.0558755,0.0292536,0.02671,0.0379472,0.06285450000000001
Euler002,0.0003003,0.0006572999999999999,1.8591795999999998,0.053425,0.05658989999999999,0.028641099999999996,0.027300799999999997,0.0378248,0.0638139
Euler003,0.0002255,0.0007726,2.0677906,0.0546965,0.056936299999999995,0.027365099999999996,0.0255718,0.036735,0.0648335
Euler004,0.023132299999999998,0.0007942999999999998,2.3034826000000006,0.09901159999999999,0.1011139,0.0552408,0.10621929999999999,0.22924249999999996,0.2697385
Euler005,0.0003864,0.0008546999999999999,2.1645608999999997,0.0551051,0.056227700000000005,0.028899,0.0364071,0.059576300000000006,0.0641081
Euler006,0.0002145,0.0006908999999999999,2.0482594,0.05397219999999999,0.0554296,0.0291867,0.026029200000000002,0.035327199999999996,0.060453
Euler007,0.0016765999999999999,0.0007808000000000001,3.4412398000000004,0.0745418,0.0697054,0.0461376,0.1247341,0.14980909999999997,0.22322369999999997
Euler008,0.0005534000000000001,0.0005430000000000001,2.3404081000000003,0.0572313,0.055925899999999994,0.0302861,0.040051500000000004,0.0576815,0.06396170000000001
Euler009,0.0003354,0.0007962000000000001,1.9142344000000002,0.053556599999999996,0.0545801,0.0289849,0.026345200000000003,0.035671400000000006,0.06508939999999999
Euler010,0.016518300000000003,0.0005845000000000001,5.0273498000000005,0.20171650000000002,0.15017160000000002,0.1358871,0.3272487,1.2055619,1.5268442
Euler011,0.0022161,0.0005136,2.5138691,0.053808499999999995,0.0586545,0.0314235,0.0500429,0.0585422,0.06484110000000001
Euler012,0.569287,0.0006877000000000001,5.027776200000001,0.33798740000000005,0.38911809999999997,0.38088330000000004,0.7955184,4.8344814000000005,4.5965265
Euler013,8.450000000000001e-05,0.0006719999999999999,2.2343967,0.053961800000000004,0.057018799999999994,0.0326167,0.026525299999999995,0.034826399999999993,0.06643950000000001
